,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
84,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,t_b0hn_sust_groups_fdbk,GL_DOM_t_b0hn_sust_groups_fdbk_5.2_000,gf_sust_tot_rspse_score_number,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cutoff_date='CUTOFF_DATE',['tmp://tmp1'],,,,,5.2
319,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/dast/glgldh360gloqlt/hammurabi/confs/master/dast/DAST_crypto-exchange-account_DAST_crypto-exchange_MMRule.conf,t_dast_crypto_exchange_account,27bd3cac34,gf_cust_prch_comm_brand_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/dast/data/t_dast_crypto_exchange/'],,gf_cust_prch_comm_brand_id is not null and gf_cust_prch_comm_brand_id != '',,100,4.3
579,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/g5m3/glgldh360gloqlt/hammurabi/confs/master/g5m3/G5M3_sust-mob-operations-cib_KCOG_entity_MMRule.conf,t_g5m3_sust_mob_operations_cib,27bfe8330f,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,"gf_source_system_sust_type IN ('37730', '2259886', '33763', '86076')",,100,4.3
625,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_atm-session-message_KCOG_entity_MMRule.conf,t_j7il_atm_session_message,2836f194af,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,100,4.3
697,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_notification-management_KCOG_entity_MMRule.conf,t_j7il_notification_management,28b5e0e35c,gf_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcog_entity'],,,,95,4.3
838,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_burned-items_KBTQ_customer-info_MMRule.conf,t_katc_burned_items,287abf8ef0,g_customer_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,,['MASTERSCHEMA.t_kbtq_customer_info'],,,,95,4.3
924,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcdg/glgldh360gloqlt/hammurabi/confs/master/kcdg/KCDG_graph-edges_KCDG_graph-nodes_MMRule.conf,t_kcdg_graph_edges,27960a8029,gf_source_node_id,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcdg_graph_nodes'],,,,,5.2
925,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcdg/glgldh360gloqlt/hammurabi/confs/master/kcdg/KCDG_graph-edges_KCDG_graph-nodes_MMRule.conf,t_kcdg_graph_edges,27960a8083,gf_destination_node_id,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcdg_graph_nodes'],,,,,5.2
1252,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kceg/glgldh360gloqlt/hammurabi/confs/master/kceg/KCEG_customer-products_KSAN_eom-domestic-interveners_MMRule.conf,t_kceg_customer_products,28375a6f0f,g_main_holder_customer_type,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_eom_domestic_interveners/'],,,,95,4.3
1288,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kceg/glgldh360gloqlt/hammurabi/confs/master/kceg/KCEG_customer-registers_KCEG_customer-cancellations_MMRule.conf,t_kceg_customer_registers,GL_DOM_t_kceg_customer_registers_5.2_000,gf_cust_comm_regisn_date,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cust_comm_cancellation_date,['/data/master/kceg/data/t_kceg_customer_cancellations/'],,,,100,5.2
