,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
0,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,t_b0hn_agg_output_ems_hgl,277e947aac,g_holding_group_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksag/data/t_ksag_holding_business_group/'],,,,ACCEPTANCE_MIN_KSAG_00,4.3
10,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,t_b0hn_sust_group_mark,GL_STR_t_b0hn_sust_group_mark_4.3_000,g_holding_group_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksag/data/t_ksag_holding_business_group/'],,,,ACCEPTANCE_MIN_KSAG_00,4.3
52,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,t_b0hn_sust_groups_fdbk_detail,GL_STR_t_b0hn_sust_groups_fdbk_detail_4.3_000,gf_sust_int_supplier_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/b0hn/data/t_b0hn_sust_groups_fdbk/'],,,,ACCEPTANCE_MIN_B0HN_00,4.3
53,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,t_b0hn_sust_groups_fdbk_detail,GL_STR_t_b0hn_sust_groups_fdbk_detail_4.3_001,gf_confirming_cust_int_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/b0hn/data/t_b0hn_sust_groups_fdbk/'],,,,ACCEPTANCE_MIN_B0HN_01,4.3
82,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,t_b0hn_sust_groups_fdbk,GL_STR_t_b0hn_sust_groups_fdbk_4.3_002,gf_sust_int_supplier_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/b0hn/data/t_b0hn_sust_groups_fdbk_detail/'],,,,ACCEPTANCE_MIN_B0HN_00,4.3
83,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,t_b0hn_sust_groups_fdbk,GL_STR_t_b0hn_sust_groups_fdbk_4.3_003,gf_confirming_cust_int_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/b0hn/data/t_b0hn_sust_groups_fdbk_detail/'],,,,ACCEPTANCE_MIN_B0HN_01,4.3
85,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_country_MMRule.conf,t_b0hn_sust_groups_fdbk,GL_STR_t_b0hn_sust_groups_fdbk_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
86,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_currency_MMRule.conf,t_b0hn_sust_groups_fdbk,28fea7bbc5,g_currency_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1=1,['MASTERSCHEMA.t_kcog_currency'],,g_currency_id != '' AND g_currency_id IS NOT NULL,,ACCEPTANCE_MIN_KCOG_00,4.3
87,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_entity_MMRule.conf,t_b0hn_sust_groups_fdbk,GL_STR_t_b0hn_sust_groups_fdbk_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
156,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/cgj7/glgldh360gloqlt/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_KBTQ_customer-info_MMRule.conf,t_cgj7_customer_carbon_footprint,GL_STR_t_cgj7_customer_carbon_footprint_4.3_000,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
