ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
287b3bcdac;{'gf_booking_area_country_id'};t_g5m3_agg_mlzed_amount;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'C245' and gf_frequency_type='M';287b3bcdac;C245;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;C245;M
287b3bcf08;{'g_contract_business_line_id'};t_g5m3_agg_mlzed_amount;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'C707' and gf_frequency_type='M';287b3bcf08;C707;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;C707;M
287b3bcfb7;{'g_contract_subsegment_id'};t_g5m3_agg_mlzed_amount;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'E553' and gf_frequency_type='M';287b3bcfb7;E553;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;E553;M
287b3bd05a;{'g_sustainable_product_id'};t_g5m3_agg_mlzed_amount;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'D223' and gf_frequency_type='M';287b3bd05a;D223;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;D223;M
287b3bd0f4;{'gf_sust_contract_type'};t_g5m3_agg_mlzed_amount;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'SUST' and gf_frequency_type='M';287b3bd0f4;SUST;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;SUST;M
287b3bd6bf;{'g_person_role_type'};t_kceg_trans_recommendation;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'C529' and gf_frequency_type='D';287b3bd6bf;C529;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;C529;D
287b3bdc91;{'g_person_role_type'};t_kceg_transaction_evaluation;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id = 'C529' and gf_frequency_type='D';287b3bdc91;C529;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;C529;D
287b3bddca;{'g_attribution_model_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E494' and gf_frequency_type='D';287b3bddca;E494;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E494;D
287b3bde6d;{'g_bf_aput_tch_atrb_model_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E494' and gf_frequency_type='D';287b3bde6d;E494;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E494;D
287b3bdf0c;{'g_bf_lt_tch_atrb_model_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E494' and gf_frequency_type='D';287b3bdf0c;E494;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E494;D
287b3bdfa2;{'g_bf_pult_tch_atrb_model_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E494' and gf_frequency_type='D';287b3bdfa2;E494;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E494;D
287b3be040;{'g_link_keyword_match_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E497' and gf_frequency_type='D';287b3be040;E497;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E497;D
287b3be0da;{'g_source_event_type'};t_kctd_attributions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E495' and gf_frequency_type='D';287b3be0da;E495;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E495;D
287b3be17b;{'g_dev_oper_system_type'};t_kctd_device_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E498' and gf_frequency_type='D';287b3be17b;E498;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E498;D
287b3be211;{'g_ios_user_dev_id'};t_kctd_device_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C529' and gf_frequency_type='D';287b3be211;C529;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C529;D
287b3be2a5;{'g_user_cnst_tr_ac_ios_type'};t_kctd_device_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E499' and gf_frequency_type='D';287b3be2a5;E499;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E499;D
287b3be33b;{'g_source_event_type'};t_kctd_event_information;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E495' and gf_frequency_type='D';287b3be33b;E495;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E495;D
