ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
GL_DOM_t_b0hn_sust_group_mark_3.5_000;{'gf_sustainability_mark_id'};t_b0hn_sust_group_mark;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='SUST' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_000;SUST;Monthly;;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;SUST;M
GL_DOM_t_b0hn_sust_group_mark_3.5_001;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'C593';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_001;C593;Monthly;gf_sustainability_mark_id igual a C593;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;M
GL_DOM_t_b0hn_sust_group_mark_3.5_002;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBCR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_002;RBCR;Monthly;gf_sustainability_mark_id igual a RBCR;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;M
GL_DOM_t_b0hn_sust_group_mark_3.5_003;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBES';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_003;RBES;Monthly;gf_sustainability_mark_id igual a RBES;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;M
GL_DOM_t_b0hn_sust_group_mark_3.5_004;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBGR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBGR' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_004;RBGR;Monthly;gf_sustainability_mark_id es igual a RBGR;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBGR;M
GL_DOM_t_b0hn_sust_group_mark_3.5_005;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBOI';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBOI' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_005;RBOI;Monthly;gf_sustainability_mark_id es igual a RBOI;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBOI;M
GL_DOM_t_b0hn_sust_group_mark_3.5_006;{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBSO';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBSO' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_006;RBSO;Monthly;gf_sustainability_mark_id es igual a RBSO;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBSO;M
GL_DOM_t_b0hn_sust_group_mark_3.5_007;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'C593';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_007;C593;Monthly;gf_sustainability_mark_id igual a C593;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;M
GL_DOM_t_b0hn_sust_group_mark_3.5_008;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBCR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_008;RBCR;Monthly;gf_sustainability_mark_id igual a RBCR;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;M
GL_DOM_t_b0hn_sust_group_mark_3.5_009;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBES';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_009;RBES;Monthly;gf_sustainability_mark_id igual a RBES;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;M
GL_DOM_t_b0hn_sust_group_mark_3.5_010;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBGR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBGR' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_010;RBGR;Monthly;gf_sustainability_mark_id es igual a RBGR;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBGR;M
GL_DOM_t_b0hn_sust_group_mark_3.5_011;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBOI';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBOI' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_011;RBOI;Monthly;gf_sustainability_mark_id es igual a RBOI;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBOI;M
GL_DOM_t_b0hn_sust_group_mark_3.5_012;{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;gf_sustainability_mark_id = 'RBSO';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBSO' and gf_frequency_type='M';GL_DOM_t_b0hn_sust_group_mark_3.5_012;RBSO;Monthly;gf_sustainability_mark_id es igual a RBSO;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
SOURCE: Origin of data (gf_information_source_type)";/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBSO;M
GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_000;{'g_question_group_type'};t_b0hn_sust_groups_fdbk_detail;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='A777' and gf_frequency_type='D';GL_DOM_t_b0hn_sust_groups_fdbk_detail_3.5_000;A777;Daily;;3Q22;Oct_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;A777;D
