ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gfinitialcatalogid;datavaluessubset_gffinalcatalogid ;datavaluessubset_gfinitialcatalogvalid ;datavaluessubset_gffrequencytype
GL_DOM_t_kszg_trnslty_by_channel_3.5_009;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '01';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '01' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_009;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 01;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;01;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_010;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '02';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '02' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_010;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 02;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;02;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_011;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '03';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '03' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_011;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 03;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;03;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_012;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '04';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '04' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_012;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 04;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;04;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_013;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '05';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '05' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_013;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 05;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;05;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_014;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '06';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '06' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_014;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 06;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;06;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_015;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '07';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '07' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_015;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 07;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;07;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_016;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '08';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '08' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_016;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 08;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;08;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_017;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '09';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '09' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_017;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 09;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;09;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_018;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '10';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '10' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_018;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 10;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;10;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_019;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '11';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '11' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_019;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 11;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;11;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_020;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '12';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '12' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_020;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 12;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;12;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_021;{'g_channel_id'};t_kszg_trnslty_by_channel;g_supra_channel_id = '13';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_final_catalog_val_id;gf_initial_catalog_id ='C069' and gf_final_catalog_id = 'C071' and gf_initial_catalog_val_id = '13' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_021;gf_initial_catalog_id = C069 -suprachannel id-/gf_final_catalog_val_id=C071- channel id-;Daily;Si g_supra_channel_id es igual a 13;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C069;C071;13;D
GL_DOM_t_kszg_trnslty_by_channel_3.5_022;{'g_trans_event_subfamily_type'};t_kszg_trnslty_by_channel;g_trans_event_family_type = '01';['/data/master/ktny/data/t_ktny_rel_values_taxonomy/'];;gf_initial_catalog_val_id;gf_initial_catalog_id ='C814' and gf_final_catalog_id = 'C809' and gf_final_catalog_val_id = '01' and gf_frequency_type='D';GL_DOM_t_kszg_trnslty_by_channel_3.5_022;gf_initial_catalog_id =C814- g_trans_event_subfamily_type- /gf_final_catalog_id = C809 -g_trans_event_family_type-;Daily;Si g_trans_event_family_type es igual a 01;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_rel_values_taxonomy/;C814;C809;;D
