ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str
27993d15e4;{'gf_default_taxo_group_id'};t_cmov_bbva_categorized_mov;gf_default_taxo_group_id is not null and gf_default_taxo_group_id != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;27993d15e4;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27993d164c;{'gf_default_taxo_category_id'};t_cmov_bbva_categorized_mov;gf_default_taxo_category_id is not null and gf_default_taxo_category_id != '';['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;27993d164c;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
27993d16f3;{'gf_default_taxo_subcategory_id'};t_cmov_bbva_categorized_mov;gf_default_taxo_subcategory_id is not null and gf_default_taxo_subcategory_id != '';['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;27993d16f3;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
27993d1750;{'gf_tailored_taxo_group_id'};t_cmov_bbva_categorized_mov;gf_tailored_taxo_group_id is not null and gf_tailored_taxo_group_id != '';['MASTERSCHEMA.CATALOG_TABLE_3'];;CATALOG_COLUMN_3;CATALOG_CODE_3;27993d1750;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_3
27993d17b5;{'gf_custom_taxo_group_id'};t_cmov_bbva_categorized_mov;gf_custom_taxo_group_id is not null and gf_custom_taxo_group_id != '';['MASTERSCHEMA.CATALOG_TABLE_4'];;CATALOG_COLUMN_4;CATALOG_CODE_4;27993d17b5;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_4: Columna del catálogo local 
CATALOG_CODE_4: Filtrado del catálogo local
CATALOG_TABLE_4: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_4
27993d1805;{'gf_shown_taxo_group_id'};t_cmov_bbva_categorized_mov;gf_shown_taxo_group_id is not null and gf_shown_taxo_group_id != '';['MASTERSCHEMA.CATALOG_TABLE_5'];;CATALOG_COLUMN_5;CATALOG_CODE_5;27993d1805;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_5: Columna del catálogo local 
CATALOG_CODE_5: Filtrado del catálogo local
CATALOG_TABLE_5: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_5
27993d185b;{'gf_tailored_taxo_category_id'};t_cmov_bbva_categorized_mov;gf_tailored_taxo_category_id is not null and gf_tailored_taxo_category_id != '';['MASTERSCHEMA.CATALOG_TABLE_6'];;CATALOG_COLUMN_6;CATALOG_CODE_6;27993d185b;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_6: Columna del catálogo local 
CATALOG_CODE_6: Filtrado del catálogo local
CATALOG_TABLE_6: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_6
27993d18b5;{'gf_custom_taxo_category_id'};t_cmov_bbva_categorized_mov;gf_custom_taxo_category_id is not null and gf_custom_taxo_category_id != '';['MASTERSCHEMA.CATALOG_TABLE_7'];;CATALOG_COLUMN_7;CATALOG_CODE_7;27993d18b5;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_7: Columna del catálogo local 
CATALOG_CODE_7: Filtrado del catálogo local
CATALOG_TABLE_7: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_7
27993d18ff;{'gf_shown_taxo_category_id'};t_cmov_bbva_categorized_mov;gf_shown_taxo_category_id is not null and gf_shown_taxo_category_id != '';['MASTERSCHEMA.CATALOG_TABLE_8'];;CATALOG_COLUMN_8;CATALOG_CODE_8;27993d18ff;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_8: Columna del catálogo local 
CATALOG_CODE_8: Filtrado del catálogo local
CATALOG_TABLE_8: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_8
27993d194f;{'gf_tailored_taxo_subcateg_id'};t_cmov_bbva_categorized_mov;gf_tailored_taxo_subcateg_id is not null and gf_tailored_taxo_subcateg_id != '';['MASTERSCHEMA.CATALOG_TABLE_9'];;CATALOG_COLUMN_9;CATALOG_CODE_9;27993d194f;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o Vacío;2Q24;Jun_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_9: Columna del catálogo local 
CATALOG_CODE_9: Filtrado del catálogo local
CATALOG_TABLE_9: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_9
