ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
284c60dd7b;gf_vehicle_horse_power_ex1_number is not null;{'gf_vehicle_horse_power_ex1_number'};t_knfa_vehicles_center;284c60dd7b;Distinto de Null;1Q25
GL_DOM_t_l9ct_client_paris_alignment_3.4_000;gf_company_ems_cyr_number is not null;{'gf_company_ems_cyr_number'};t_l9ct_client_paris_alignment;GL_DOM_t_l9ct_client_paris_alignment_3.4_000;Si el campo (gf_company_ems_cyr_number) es diferente a NULL;1Q25
GL_DOM_t_l9ct_client_paris_alignment_3.4_001;gf_aligned_ems_cyr_number is not null;{'gf_aligned_ems_cyr_number'};t_l9ct_client_paris_alignment;GL_DOM_t_l9ct_client_paris_alignment_3.4_001;Si el campo (gf_aligned_ems_cyr_number) es diferente a NULL;1Q25
GL_DOM_t_l9ct_client_paris_alignment_5.3_000;gf_ems_align_deg_cyr_number is not null;{'gf_ems_align_deg_cyr_number'};t_l9ct_client_paris_alignment;GL_DOM_t_l9ct_client_paris_alignment_5.3_000;Si el campo (gf_ems_align_deg_cyr_number) es diferente a NULL;1Q25
2848d7cfac;g_holding_group_id is not null and g_holding_group_id != '';{'g_holding_group_id'};t_l9ct_gp_cust_ext_data_comp;2848d7cfac;La regla solo debe ejecutarse cuando el campo g_holding_group_id esté rellenado. ;1Q25
282f87a1e3;g_green_bond_ind_type is not null;{'g_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;282f87a1e3;No debe aplicarse cuando el campo sea nulo.;1Q25
282f87a2ed;g_eu_taxo_green_bond_ind_type is not null;{'g_eu_taxo_green_bond_ind_type'};t_l9ct_green_bonds_secty_flag;282f87a2ed;No debe aplicarse cuando el campo sea nulo.;1Q25
282f87a42e;g_icma_stds_green_bnd_ind_type is not null;{'g_icma_stds_green_bnd_ind_type'};t_l9ct_green_bonds_secty_flag;282f87a42e;No debe aplicarse cuando el campo sea nulo.;1Q25
282f87a0b4;g_esg_bond_type_id is not null;{'g_esg_bond_type_id'};t_l9ct_green_bonds_secty_flag;282f87a0b4;No debe aplicarse cuando el campo sea nulo.;1Q25
GL_DOM_t_l9ct_grp_clnt_paris_alignment_3.4_000;gf_company_ems_cyr_number is not null;{'gf_company_ems_cyr_number'};t_l9ct_grp_clnt_paris_alignment;GL_DOM_t_l9ct_grp_clnt_paris_alignment_3.4_000;Si el campo (gf_company_ems_cyr_number) es diferente a NULL;1Q25
GL_DOM_t_l9ct_grp_clnt_paris_alignment_3.4_001;gf_aligned_ems_cyr_number is not null;{'gf_aligned_ems_cyr_number'};t_l9ct_grp_clnt_paris_alignment;GL_DOM_t_l9ct_grp_clnt_paris_alignment_3.4_001;Si el campo (gf_aligned_ems_cyr_number) es diferente a NULL;1Q25
