ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
279d4f3973;(g_information_source_type = 34389 OR g_information_source_type = 37558) AND gf_sustainability_mark_id = 'RBSO';{'gf_sustainability_subcateg_per'};t_b0hn_sust_group_mark;279d4f3973;"g_information_source_type = (34389 | 37558) AND gf_sustainability_mark_id = ""RBSO""";2Q24
279d4f39d7;(g_information_source_type = 34389 OR g_information_source_type = 37558) AND gf_sustainability_mark_id = 'RBGR';{'gf_sustainability_subcateg_per'};t_b0hn_sust_group_mark;279d4f39d7;"g_information_source_type = (34389 | 37558) AND gf_sustainability_mark_id = ""RBGR""";2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_001;gf_sustainability_mark_id = 'C593';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_001;gf_sustainability_mark_id igual a C593;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_002;gf_sustainability_mark_id = 'RBCR';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_002;gf_sustainability_mark_id igual a RBCR;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_003;gf_sustainability_mark_id = 'RBES';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_003;gf_sustainability_mark_id igual a RBES;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_004;gf_sustainability_mark_id = 'RBGR';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_004;gf_sustainability_mark_id es igual a RBGR;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_005;gf_sustainability_mark_id = 'RBOI';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_005;gf_sustainability_mark_id es igual a RBOI;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_006;gf_sustainability_mark_id = 'RBSO';{'gf_sustainability_subcatg_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_006;gf_sustainability_mark_id es igual a RBSO;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_007;gf_sustainability_mark_id = 'C593';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_007;gf_sustainability_mark_id igual a C593;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_008;gf_sustainability_mark_id = 'RBCR';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_008;gf_sustainability_mark_id igual a RBCR;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_009;gf_sustainability_mark_id = 'RBES';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_009;gf_sustainability_mark_id igual a RBES;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_010;gf_sustainability_mark_id = 'RBGR';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_010;gf_sustainability_mark_id es igual a RBGR;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_011;gf_sustainability_mark_id = 'RBOI';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_011;gf_sustainability_mark_id es igual a RBOI;2Q24
GL_DOM_t_b0hn_sust_group_mark_3.5_012;gf_sustainability_mark_id = 'RBSO';{'gf_sustainability_category_id'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_3.5_012;gf_sustainability_mark_id es igual a RBSO;2Q24
GL_DOM_t_b0hn_sust_group_mark_6.2_000;;{'gf_sustainability_subcateg_per'};t_b0hn_sust_group_mark;GL_DOM_t_b0hn_sust_group_mark_6.2_000;Para un grupo (g_holding_group_id) y para una fuente de información (g_information_source_type;2Q24
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_001;gf_supplier_response_id %2 = 0 ;{'gf_sust_supplier_response_name'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_001;;4Q22
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_002;gf_supplier_response_id %2 != 0 ;{'gf_sust_supplier_response_name'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_002;;4Q22
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_003;gf_sust_supplier_response_name IN ('YES','YEs','YeS','Yes','yES','yEs','yeS','yes') AND gf_sust_supplier_question_id != '7' ;{'gf_sust_response_score_number'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_003;"gf_sust_supplier_response_name = ""Yes"" (cualquier valor entre los siguientes: YES | YEs | YeS | Yes | yES | yEs | yeS | yes)
gf_sust_supplier_question_id <> 7";2Q23
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_004;gf_sust_supplier_response_name IN ('YES','YEs','YeS','Yes','yES','yEs','yeS','yes') AND gf_sust_supplier_question_id = '7' ;{'gf_sust_response_score_number'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_004;"gf_sust_supplier_response_name = ""Yes"" (cualquier valor entre los siguientes: YES | YEs | YeS | Yes | yES | yEs | yeS | yes)
gf_sust_supplier_question_id = 7";2Q23
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_005;gf_sust_supplier_response_name IN ('No','NO','nO','no') AND gf_sust_supplier_question_id != '7' ;{'gf_sust_response_score_number'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_005;"gf_sust_supplier_response_name = ""No"" (cualquier valor entre los siguientes: NO | No | nO | no)
gf_sust_supplier_question_id <> 7";2Q23
GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_006;gf_sust_supplier_response_name IN ('No','NO','nO','no') AND gf_sust_supplier_question_id = '7' ;{'gf_sust_response_score_number'};t_b0hn_sust_groups_fdbk_detail;GL_DOM_t_b0hn_sust_groups_fdbk_detail_5.3_006;"gf_sust_supplier_response_name = ""No"" (cualquier valor entre los siguientes: NO | No | nO | no)
gf_sust_supplier_question_id = 7";2Q23
GL_DOM_t_b0hn_sust_groups_fdbk_5.3_000;gf_sust_tot_rspse_score_number >= 6;{'gf_supplier_sust_score_desc'};t_b0hn_sust_groups_fdbk;GL_DOM_t_b0hn_sust_groups_fdbk_5.3_000;;3Q22
GL_DOM_t_b0hn_sust_groups_fdbk_5.3_001;gf_sust_tot_rspse_score_number < 6;{'gf_supplier_sust_score_desc'};t_b0hn_sust_groups_fdbk;GL_DOM_t_b0hn_sust_groups_fdbk_5.3_001;;3Q22
27874bdebd;g_country_id is not null;{'g_country_id'};t_b0hn_toolkit_esg_group_output;27874bdebd;g_country_id is not null;4Q23
27874bdebe;g_activity_per_parameter_type is not null;{'g_activity_per_parameter_type'};t_b0hn_toolkit_esg_group_output;27874bdebe;g_activity_per_parameter_type is not null;4Q23
27874bdebf;g_revenue_act_cat_type is not null;{'g_revenue_act_cat_type'};t_b0hn_toolkit_esg_group_output;27874bdebf;g_revenue_act_cat_type is not null;4Q23
27874bdec0;g_energy_prod_srce_type is not null;{'g_energy_prod_srce_type'};t_b0hn_toolkit_esg_group_output;27874bdec0;g_energy_prod_srce_type is not null;4Q23
GL_DOM_t_cgj7_sust_customer_mark_3.5_001;gf_sustainability_mark_id = 'C593';{'gf_sustainability_subcatg_id'};t_cgj7_sust_customer_mark;GL_DOM_t_cgj7_sust_customer_mark_3.5_001;gf_sustainability_mark_id igual a C593;2Q24
GL_DOM_t_cgj7_sust_customer_mark_3.5_002;gf_sustainability_mark_id = 'RBCR';{'gf_sustainability_subcatg_id'};t_cgj7_sust_customer_mark;GL_DOM_t_cgj7_sust_customer_mark_3.5_002;gf_sustainability_mark_id igual a RBCR;2Q24
GL_DOM_t_cgj7_sust_customer_mark_3.5_003;gf_sustainability_mark_id = 'RBES';{'gf_sustainability_subcatg_id'};t_cgj7_sust_customer_mark;GL_DOM_t_cgj7_sust_customer_mark_3.5_003;gf_sustainability_mark_id igual a RBES;2Q24
GL_DOM_t_cgj7_sust_customer_mark_3.5_004;gf_sustainability_mark_id = 'RBGR';{'gf_sustainability_subcatg_id'};t_cgj7_sust_customer_mark;GL_DOM_t_cgj7_sust_customer_mark_3.5_004;gf_sustainability_mark_id es igual a RBGR;2Q24
