archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,t_b0hn_agg_output_ems_hgl,277e947aac,g_holding_group_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksag/data/t_ksag_holding_business_group/'],,,,ACCEPTANCE_MIN_KSAG_00
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,GL_MVP_t_b0hn_agg_output_ems_hgl_3.1_003,g_holding_group_id,True,com.datio.hammurabi.rules.validity.NotNullValidationRule,,,,,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,GL_MVP_t_b0hn_agg_output_ems_hgl_3.2_003,g_holding_group_id,True,com.datio.hammurabi.rules.validity.FormatValidationRule,,,,,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,GL_DOM_t_b0hn_agg_output_ems_hgl_3.1_001,gf_sc12_atrb_ems_ec_int_number,False,com.datio.hammurabi.rules.validity.NotNullValidationRule,,,,,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,GL_DOM_t_b0hn_agg_output_ems_hgl_3.1_002,gf_tl_atrb_ems_ec_int_number,False,com.datio.hammurabi.rules.validity.NotNullValidationRule,,,,,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,GL_STR_t_b0hn_agg_output_ems_hgl_4.2_000,"['gf_cutoff_date', 'g_holding_group_id']",True,com.datio.hammurabi.rules.consistence.DuplicateRule,,,,,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,28fea7add6,gf_audit_project_id,False,com.datio.hammurabi.rules.validity.DynamicCatalogRule,gf_catalog_val_id,g_catalog_id = 'A191' AND gf_frequency_type = 'D',['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'],,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,28fea7af14,g_finc_ems_est_method_type,False,com.datio.hammurabi.rules.validity.DynamicCatalogRule,gf_catalog_val_id,g_catalog_id = 'B339' AND gf_frequency_type = 'D',['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'],,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,t_b0hn_agg_output_ems_hgl,28fea7b042,g_calc_source_origin_type,False,com.datio.hammurabi.rules.validity.DynamicCatalogRule,gf_catalog_val_id,g_catalog_id = 'E144' AND gf_frequency_type = 'D',['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'],,,,100
C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/b0hn/glgldh360gloqlt/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRObject.conf,t_b0hn_agg_output_ems_hgl,GL_STR_t_b0hn_agg_output_ems_hgl_6.9_000,,True,com.datio.hammurabi.rules.accuracy.VolumetricTrendRule,,gf_cutoff_date='FECHA_VOLUMETRIC',['/data/master/b0hn/data/t_b0hn_agg_output_ems_hgl/'],,,,
