implantacion,table,conf_type,conf,version,params,ConfigURL,Extralibs,version_simple,unique_id,NombreJob,LARGO_MAX41+5
Holding,t_b0hn_sust_group_mark,MMRule,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,,900,sustgroupmarkmmrule,b0hn-gl-hmm-qlt-sustgroupmarkmmrule-,36
Holding,t_b0hn_sust_group_mark,MRField,B0HN_sust-group-mark_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRField.conf,,1000,sustgroupmarkmrfield,b0hn-gl-hmm-qlt-sustgroupmarkmrfield-,37
Holding,t_b0hn_sust_group_mark,MRField,B0HN_sust-group-mark_MRField.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRField.conf,,900,sustgroupmarkmrfield,b0hn-gl-hmm-qlt-sustgroupmarkmrfield-,37
Holding,t_b0hn_sust_group_mark,MRObject,B0HN_sust-group-mark_MRObject.conf,9.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,,900,sustgroupmarkmrobject,b0hn-gl-hmm-qlt-sustgroupmarkmrobject-,38
Holding,t_b0hn_sust_groups_fdbk_detail,MMRule,B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,,900,sustgroupsfdbkdetaimmrule,b0hn-gl-hmm-qlt-sustgroupsfdbkdetaimmrule-,42
Holding,t_b0hn_sust_groups_fdbk_detail,MRField,B0HN_sust-groups-fdbk-detail_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk-detail_MRField.conf,,1000,sustgroupsfdbkdetaimrfield,b0hn-gl-hmm-qlt-sustgroupsfdbkdetaimrfield-,43
Holding,t_b0hn_sust_groups_fdbk_detail,MRField,B0HN_sust-groups-fdbk-detail_MRField.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk-detail_MRField.conf,,900,sustgroupsfdbkdetaimrfield,b0hn-gl-hmm-qlt-sustgroupsfdbkdetaimrfield-,43
Holding,t_b0hn_sust_groups_fdbk_detail,MRObject,B0HN_sust-groups-fdbk-detail_MRObject.conf,9.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk-detail_MRObject.conf,,900,sustgroupsfdbkdetaimrobject,b0hn-gl-hmm-qlt-sustgroupsfdbkdetaimrobject-,44
Holding,t_b0hn_sust_groups_fdbk,MMRule,B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,9.0.0,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gdh/hammurabi-filteragg/1.0.5/hammurabi-filteragg-1.0.5-jar-with-dependencies.jar,900,sustgroupsfdbkmmrule,b0hn-gl-hmm-qlt-sustgroupsfdbkmmrule-,37
Holding,t_b0hn_sust_groups_fdbk,MMRule,B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,9.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf,,900,sustgroupsfdbkmmrule,b0hn-gl-hmm-qlt-sustgroupsfdbkmmrule-,37
