GUARDAR AQUI EVIDENCIAS: https://drive.google.com/drive/u/1/folders/1WuJDZQC59yayX4-s5WL67VNCXTB2cWbg ,,,,,,,,,,
[C360-Ingestas] Documentos de evidencias para Jira,,,,,,,,,,
VERIFICADO,GUARDADO DRIVE y JIRA,TABLA PRINCIPAL,Q,JIRA,ID funcional / conf,LOCAL LOGS,JOB NAME (ADA WORK),RUN ID (ADA WORK),Observaciones,Desarrollador
TRUE,TRUE,t_l9ct_em_factors_motor_ve,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-3181,2792746658,"----> -------------------------------
----> Rule: 3.5 (com.datio.hammurabi.rules.validity.DynamicCatalogRule)
----> Subset: None
----> Physical field: g_data_origin_qlty_score_type
----> Is Critical: false
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",l9ct-gl-hmm-qlt-emfactorsmotorvee-01,l9ct-gl-hmm-qlt-emfactorsmotorvee-01-19OAylXlyRwfWWV,,Egoitz Lopez
TRUE,FALSE,t_b0hn_sust_group_mark,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-3187,GL_DOM_t_b0hn_sust_group_mark_5.3_003,"########                          DATA QUALITY RESULTS                          ########
########################################################################################
--> DATASET
----> ObjectPath: Some(/data/master/b0hn/data/t_b0hn_sust_group_mark)
----> PhysicalObject: t_b0hn_sust_group_mark
----> UUAA: b0hn
----> Subset: Some(gf_cutoff_date='1997-01-01')
----> FrequencyRuleExecution: None
----> Dataset size: 8 rows
----> Data date: 1997-01-01
----> Execution date: 2025-06-26 12:04:24.215
--> RESULTS
----> Rule: 5.3 (com.datio.hammurabi.rules.integrity.SameValueComparisonRule)
----> Subset: None
----> Physical field: gf_sustainability_mark_id
----> Is Critical: false
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 8 
----> Total records affected: 8
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------
########################################################################################
########                             END OF RESULTS                             ########
########################################################################################

Process finished with exit code 0",b0hn-gl-hmm-qlt-sustgroupmark-02,b0hn-gl-hmm-qlt-sustgroupmark-02-A9YhRmH7MZU6t2K,,Juan Carlos Frutos
FALSE,FALSE,t_l9ct_co_asset_rel_activity,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-3179,"27fdb74b40 
27fe0c6498 
27fe0cf8f2 ",NA,l9ct-gl-hmm-qlt-coassetrelactmmr-01,l9ct-gl-hmm-qlt-coassetrelactmmr-01-eSmn82faI03G3Xl,,Marcos Leon
TRUE,TRUE,t_l9ct_company_metric_year_cntry,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-2636,28c6638322,"----> -------------------------------
----> Rule: 3.1 (com.datio.hammurabi.rules.validity.NotNullValidationRule)
----> Subset: None
----> Physical field: g_country_id
----> Is Critical: true
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",l9ct-gl-hmm-qlt-companymetricyearcntryyy-01,l9ct-gl-hmm-qlt-companymetricyearcntryyy-01-1ICa6irMTcW2xBc,,Egoitz Lopez
TRUE,TRUE,,,,28c6638427,"----> -------------------------------
----> Rule: 3.2 (com.datio.hammurabi.rules.validity.FormatValidationRule)
----> Subset: None
----> Physical field: g_country_id
----> Is Critical: true
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",,,,
TRUE,TRUE,,,,28ada4e43c,"----> -------------------------------
----> Rule: 4.2 (com.datio.hammurabi.rules.consistence.DuplicateRule)
----> Subset: None
----> Physical field: 
----> Is Critical: true
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",,,,
TRUE,TRUE,t_l9ct_company_production_unit,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-3197,28c3dcad53,"-----> -------------------------------
----> Rule: 3.1 (com.datio.hammurabi.rules.validity.NotNullValidationRule)
----> Subset: None
----> Physical field: gf_prod_total_number
----> Is Critical: false
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",l9ct-gl-hmm-qlt-companyproductionunitt-01,l9ct-gl-hmm-qlt-companyproductionunitt-01-9vTqW83CTTNsyC6,,Egoitz Lopez
TRUE,TRUE,,,,28c3dcae6b,"----> -------------------------------
----> Rule: 3.2 (com.datio.hammurabi.rules.validity.FormatValidationRule)
----> Subset: None
----> Physical field: gf_prod_unit_meas_desc
----> Is Critical: false
----> DrillDown: Some()->Some()
----> MinimumThreshold: None
----> TargetThreshold: None
----> Passed records: 4 
----> Total records affected: 4
----> Compliance percentage: 100.0
----> Acceptance Min: None
----> Final status: Passed
----> -------------------------------",,,,
TRUE,FALSE,t_l9ct_co_asset_rel_emissions,3Q25,https://jira.globaldevtools.bbva.com/browse/DECSCLIENT-3177,27fdb2a2a1,,l9ct-gl-hmm-qlt-colrelemissions-02,l9ct-gl-hmm-qlt-colrelemissions-02-CDv1kOkAYG6lZoI,,Juan Carlos Frutos
TRUE,FALSE,,,,27fdb31284,,,,,
