uuaa,job,conf
l9ct,l9ct-gl-krb-inm-bankflenrgacscp3ems-01,t_l9ct_bank_fl_enrg_ac_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope3emissions-01,t_l9ct_bank_rent_bldg_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope1emissions-01,t_l9ct_bank_scope_1_emissions-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bankscope2emissions-01,t_l9ct_bank_scope_2_emissions-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-banksuppcapgscp3ems-01,t_l9ct_bank_supp_cap_g_scp_3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-krb-inm-bksuppprchgsvcs3ems-01,t_l9ct_bk_supp_prch_g_svc_s3_ems-inm-raw_klau.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankflenrgacs-01,L9CT_bank-fl-enrg-ac-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankflenrgacs-01,L9CT_bank-fl-enrg-ac-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankrentbldgs-01,L9CT_bank-rent-bldg-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankrentbldgs-01,L9CT_bank-rent-bldg-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankscope1emi-01,L9CT_bank-scope-1-emissions_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankscope1emi-01,L9CT_bank-scope-1-emissions_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbankscope2emi-01,L9CT_bank-scope-2-emissions_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbankscope2emi-01,L9CT_bank-scope-2-emissions_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrbanksuppcapgs-01,L9CT_bank-supp-cap-g-scp-3-ems_PROC_supplier-information_MMRule.conf
l9ct,l9ct-gl-hmm-qlt-inmmvpbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_MRField.conf
l9ct,l9ct-gl-hmm-qlt-inmstrbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_MRObject.conf
l9ct,l9ct-gl-hmm-qlt-inmmrbksuppprchgsv-01,L9CT_bk-supp-prch-g-svc-s3-ems_PROC_supplier-information_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrfield-01,B0HN_sust-group-mark_MRField.conf
b0hn,b0hn-gl-spk-qlt-inmmmrule-01,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmstrclientparisalignment-01,L9CT_client-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpclientparisalignment-01,L9CT_client-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntparisalignment-01,L9CT_grp-clnt-paris-alignment_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclntparisalignmnt-01,L9CT_grp-nclnt-paris-alignment_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclntparisalignmnt-01,L9CT_grp-nclnt-paris-alignment_MRObject.conf
l9ct,l9ct-gl-qlt-inmmrulegrpnclntparisal9ct-01,L9CT_grp-clnt-paris-alignment_L9CT_grp-clnt-paris-alignment_MMRule.conf
l9ct,l9ct-gl-qlt-inmmrulegrpnclntparisal9ct-01,L9CT_client-carbon-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrclientcarbondatascp3-01,L9CT_client-carbon-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmmrgrpclntcrbndatascp3-01,L9CT_grp-clnt-crbn-data-scp3_KSAG_holding-business-group_MMRule.conf
l9ct,l9ct-gl-qlt-inmmvpgrpnclntcrbndatascp3-01,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf
l9ct,l9ct-gl-qlt-inmstrgrpnclntcrbndatascp3-01,L9CT_grp-nclnt-crbn-data-scp3_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpclientcmpnycarbondata-01,L9CT_client-cmpny-carbon-data_MRField.conf
l9ct,l9ct-gl-qlt-inmstrclientcmpnycarbondata-01,L9CT_client-cmpny-carbon-data_MRObject.conf
l9ct,l9ct-gl-qlt-inmmvpgrpclntcmpnycrbndata-01,L9CT_grp-clnt-cmpny-crbn-data_MRField.conf
