id_ns;uuaa;country;type
e00p.gl.pro;e00p;glo;pro
knab.gl.pro;knab;glo;pro
kclt.gl.pro;kclt;glo;pro
kalt.gl.pro;kalt;glo;pro
gl.j7il.app-id-19695.pro;j7il;glo;pro
gl.afdt.app-id-313410.pro;afdt;glo;pro
gl.tmpx.app-id-1676150.pro;tmpx;glo;pro
gacc.gl.pro;gacc;glo;pro
ambi.gl.pro;ambi;glo;pro
ksea.gl.pro;ksea;glo;pro
gl.kagr.app-id-25860.pro;kagr;glo;pro
facc.gl.pro;facc;glo;pro
gl.vgol.app-id-1547742.pro;vgol;glo;pro
gl.ugol.app-id-1547721.pro;ugol;glo;pro
gl.sr3c.app-id-1493092.pro;sr3c;glo;pro
gl.sh95.app-id-17356.pro;sh95;glo;pro
gl.pjvt.app-id-208937.pro;pjvt;glo;pro
gl.kscs.app-id-536359.pro;kscs;glo;pro
gl.kscg.app-id-536346.pro;kscg;glo;pro
gl.j6oc.app-id-69057.pro;j6oc;glo;pro
gl.fzpd.app-id-2125440.pro;fzpd;glo;pro
gl.cozp.app-id-814159.pro;cozp;glo;pro
gl.e14w.app-id-234432.pro;e14w;glo;pro
gyef-2.gl.pro;gyef;glo;pro
gl.kadh.app-id-2877538.pro;kadh;glo;pro
gl.tgol.app-id-1547700.pro;tgol;glo;pro
gl.gyef.app-id-2679277.pro;gyef;glo;pro
gyef-1.gl.pro;gyef;glo;pro
gl.kgco.app-id-2732602.pro;kgco;glo;pro
gl.kcmp.app-id-2905952.pro;kcmp;glo;pro
fpcf.gl.pro;fpcf;glo;pro
qetr-6.gl.pro;qetr;glo;pro
eqrm.gl.pro;eqrm;glo;pro
dast.gl.pro;dast;glo;pro
trdt.gl.pro;trdt;glo;pro
ctar.gl.pro;ctar;glo;pro
gl.kllm.app-id-2671886.pro;kllm;glo;pro
gl.kddt.app-id-2882717.pro;kddt;glo;pro
gl.kaap.app-id-2871263.pro;kaap;glo;pro
gl.csrp.app-id-2865266.pro;csrp;glo;pro
gl.uc1z.app-id-1299105.pro;uc1z;glo;pro
gl.xeva.app-id-1973500.pro;xeva;glo;pro
gl.sesg.app-id-2617300.pro;sesg;glo;pro
gl.agpm.app-id-2759336.pro;agpm;glo;pro
gl.cgpm.app-id-2759320.pro;cgpm;glo;pro
gl.cmov.app-id-2755180.pro;cmov;glo;pro
gl.vbok.app-id-850893.pro;vbok;glo;pro
gl.resg.app-id-2733019.pro;resg;glo;pro
gl.frdt.app-id-2705259.pro;frdt;glo;pro
gl.dpag.app-id-2696691.pro;dpag;glo;pro
gl.ksnf.app-id-2693769.pro;ksnf;glo;pro
gl.pgpm.app-id-2689478.pro;pgpm;glo;pro
gl.khpf.app-id-2684377.pro;khpf;glo;pro
gl.jwyr.app-id-2661925.pro;jwyr;glo;pro
gl.sgtb.app-id-2681783.pro;sgtb;glo;pro
gl.mgpm.app-id-2663014.pro;mgpm;glo;pro
gl.egpm.app-id-2662984.pro;egpm;glo;pro
gl.kfid.app-id-2656641.pro;kfid;glo;pro
gl.kgrl.app-id-2651680.pro;kgrl;glo;pro
gl.kwzr.app-id-2559232.pro;kwzr;glo;pro
gl.coce.app-id-2172491.pro;coce;glo;pro
gl.krmc.app-id-2602136.pro;krmc;glo;pro
gl.b43t.app-id-2311358.pro;b43t;glo;pro
gl.d766.app-id-1459162.pro;d766;glo;pro
gl.spr3.app-id-2562122.pro;spr3;glo;pro
gl.katm.app-id-2541662.pro;katm;glo;pro
gl.ksst.app-id-2512982.pro;ksst;glo;pro
gl.krea.app-id-2297717.pro;krea;glo;pro
gl.xrgm.app-id-2500678.pro;xrgm;glo;pro
gl.kai9.app-id-2485724.pro;kai9;glo;pro
gl.kpde.app-id-2476808.pro;kpde;glo;pro
gl.klne.app-id-1906712.pro;klne;glo;pro
gl.lw6v.app-id-2467664.pro;lw6v;glo;pro
gl.hpgr.app-id-2358055.pro;hpgr;glo;pro
gl.kpft.app-id-2401381.pro;kpft;glo;pro
gl.ksrr.app-id-2421226.pro;ksrr;glo;pro
gl.krdt.app-id-2411418.pro;krdt;glo;pro
gl.ffir.app-id-2368238.pro;ffir;glo;pro
