ID,Fecha,Origen backlog,Tabla,Reglas ID DATUM OK (IMPLANTABLES),Reglas DEV OK (WIP FINAL),Reglas Blocked,Pendientes DEV,UUAA
02-10-2023DOM - C360 GDHt_b0hn_sust_group_mark,02/10/2023,DOM - C360 GDH,t_b0hn_sust_group_mark,26,26,0,0,B0HN
02-10-2023DOM - C360 GDHt_b0hn_sust_groups_fdbk,02/10/2023,DOM - C360 GDH,t_b0hn_sust_groups_fdbk,15,15,0,0,B0HN
02-10-2023DOM - C360 GDHt_b0hn_sust_groups_fdbk_detail,02/10/2023,DOM - C360 GDH,t_b0hn_sust_groups_fdbk_detail,15,15,0,0,B0HN
02-10-2023DOM - C360 GDHt_cgj7_customer_carbon_footprint,02/10/2023,DOM - C360 GDH,t_cgj7_customer_carbon_footprint,2,2,0,0,CGJ7
02-10-2023DOM - C360 GDHt_cgj7_sust_customer_mark,02/10/2023,DOM - C360 GDH,t_cgj7_sust_customer_mark,24,24,0,0,CGJ7
02-10-2023DOM - C360 GDHt_cgj7_sustainability_findings,02/10/2023,DOM - C360 GDH,t_cgj7_sustainability_findings,6,6,0,0,CGJ7
02-10-2023DOM - C360 GDHt_cgj7_sustainability_survey,02/10/2023,DOM - C360 GDH,t_cgj7_sustainability_survey,13,13,0,0,CGJ7
02-10-2023DOM - C360 GDHt_g5m3_movement_carbon_footprint,02/10/2023,DOM - C360 GDH,t_g5m3_movement_carbon_footprint,5,5,0,0,G5M3
02-10-2023DOM - C360 GDHt_g5m3_sust_mob_operations,02/10/2023,DOM - C360 GDH,t_g5m3_sust_mob_operations,2,2,0,0,G5M3
02-10-2023DOM - C360 GDHt_g5m3_sust_mob_operations_cib,02/10/2023,DOM - C360 GDH,t_g5m3_sust_mob_operations_cib,0,0,0,0,G5M3
02-10-2023DOM - C360 GDHt_knfa_energy_certifications,02/10/2023,DOM - C360 GDH,t_knfa_energy_certifications,12,12,0,0,KNFA
02-10-2023DOM - C360 GDHt_ksci_funds_plans_ct_var,02/10/2023,DOM - C360 GDH,t_ksci_funds_plans_ct_var,1,1,0,0,KSCI
02-10-2023DOM - C360 GDHt_kwth_energy_emis_factor,02/10/2023,DOM - C360 GDH,t_kwth_energy_emis_factor,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_energy_power_consm,02/10/2023,DOM - C360 GDH,t_kwth_energy_power_consm,1,1,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_energy_price_emis_factor,02/10/2023,DOM - C360 GDH,t_kwth_energy_price_emis_factor,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_installed_power,02/10/2023,DOM - C360 GDH,t_kwth_installed_power,1,1,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_light_price,02/10/2023,DOM - C360 GDH,t_kwth_light_price,5,5,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_market_emis_factor,02/10/2023,DOM - C360 GDH,t_kwth_market_emis_factor,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_market_emis_light_factor,02/10/2023,DOM - C360 GDH,t_kwth_market_emis_light_factor,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_omie_unit_energy,02/10/2023,DOM - C360 GDH,t_kwth_omie_unit_energy,1,1,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_price_factor,02/10/2023,DOM - C360 GDH,t_kwth_price_factor,7,7,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_taxi_fares_calculation,02/10/2023,DOM - C360 GDH,t_kwth_taxi_fares_calculation,8,8,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_transport_sustnbl_factor,02/10/2023,DOM - C360 GDH,t_kwth_transport_sustnbl_factor,4,4,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_transport_trip_distance,02/10/2023,DOM - C360 GDH,t_kwth_transport_trip_distance,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_transport_trip_estimation,02/10/2023,DOM - C360 GDH,t_kwth_transport_trip_estimation,3,3,0,0,KWTH
02-10-2023DOM - C360 GDHt_kwth_weather_aemet,02/10/2023,DOM - C360 GDH,t_kwth_weather_aemet,8,8,0,0,KWTH
02-10-2023DOM - C360 GDHt_l9ct_client_carbon_data_scp3,02/10/2023,DOM - C360 GDH,t_l9ct_client_carbon_data_scp3,8,8,0,0,L9CT
