period_month,ug_name,uol1_name,uol2_name,servicel1_name,servicel2_name,uuaa_list,repo,repository_url,kind,branch_from,branch_to,first_contribution_date,PR_closed_date,integration_time (min)
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_cmov_app-id-2755180_dsg/glgldh360gloqlt,https://globaldevtools.bbva.com/bitbucket/projects/GL_CMOV_APP-ID-2755180_DSG/repos/glgldh360gloqlt/browse,dataproc.jobs,feature/MVP_3Q25_c360_01_07_2025,develop,"16 jul 2025, 7:53:26","16 jul 2025, 8:05:22",11
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_kstb_app-id-1919198_dsg/gl-cs-360-gdh-inq,https://globaldevtools.bbva.com/bitbucket/projects/GL_KSTB_APP-ID-1919198_DSG/repos/gl-cs-360-gdh-inq/browse,dataproc.jobs,feature/repo-maintenance,develop,"23 jul 2025, 12:01:10","23 jul 2025, 12:05:27",4
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_kstb_app-id-1919198_dsg/gl-cs-360-gdh-inq,https://globaldevtools.bbva.com/bitbucket/projects/GL_KSTB_APP-ID-1919198_DSG/repos/gl-cs-360-gdh-inq/browse,dataproc.jobs,feature/update-gitignore,develop,"23 jul 2025, 11:42:35","23 jul 2025, 12:00:26",17
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_kstb_app-id-1919198_dsg/gl-cs-360-gdh-inq,https://globaldevtools.bbva.com/bitbucket/projects/GL_KSTB_APP-ID-1919198_DSG/repos/gl-cs-360-gdh-inq/browse,dataproc.jobs,feature/DECSCLIENT-2364,develop,"11 jun 2025, 20:01:02","22 jul 2025, 14:59:38",41458
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_fzpd_app-id-2125440_dsg/glgldh360gloqlt,https://globaldevtools.bbva.com/bitbucket/projects/GL_FZPD_APP-ID-2125440_DSG/repos/glgldh360gloqlt/browse,dataproc.jobs,feature/repo-maintenance,develop,"8 jul 2025, 20:51:48","9 jul 2025, 11:29:17",877
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_fzpd_app-id-2125440_dsg/glgldh360gloqlt,https://globaldevtools.bbva.com/bitbucket/projects/GL_FZPD_APP-ID-2125440_DSG/repos/glgldh360gloqlt/browse,dataproc.jobs,feature/MVP_3Q25_c360_18_06_2025,develop,"27 jun 2025, 8:31:42","3 jul 2025, 9:53:08",5841
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_l9sv_app-id-1120795_dsg/c360_datio_l9sv_ingestion,https://globaldevtools.bbva.com/bitbucket/projects/GL_L9SV_APP-ID-1120795_DSG/repos/c360_datio_l9sv_ingestion/browse,dataproc.jobs.import,feature/DECSCLIENT-2994_MarkPer,develop,"2 jul 2025, 18:26:00","2 jul 2025, 18:44:40",18
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_l9sv_app-id-1120795_dsg/c360_datio_l9sv_ingestion,https://globaldevtools.bbva.com/bitbucket/projects/GL_L9SV_APP-ID-1120795_DSG/repos/c360_datio_l9sv_ingestion/browse,dataproc.jobs.import,feature/DECSCLIENT-3378,develop,"22 jul 2025, 10:07:48","22 jul 2025, 11:08:46",60
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_l9sv_app-id-1120795_dsg/c360_datio_l9sv_ingestion,https://globaldevtools.bbva.com/bitbucket/projects/GL_L9SV_APP-ID-1120795_DSG/repos/c360_datio_l9sv_ingestion/browse,dataproc.jobs.import,feature/DECSCLIENT-2994_MarkPer,develop,"2 jul 2025, 15:27:05","2 jul 2025, 16:36:39",69
1 jul 2025,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,CS INGESTAS,CS CLIENT-360,B0HN0005|B0HN0006|CGJ70000|CMOV0000|CTAR0000|DTAU0000|EJB60000|FZPD0000|G5M30005|J7IL0004|KATC0001|KCDG0000|KCEG0005|KCPG0000|KCTD0000|KFCM0000|KMIG0004|KNFA0001|KPAN0001|KSRR0000|KSTB0000|KSZG0000|KUSU0001|KWTH0000|L9CT0000|L9SV0000|NM7R0000|NOLS0000|P68X0000|P6R10000|RE4M0000|RZUA0005|SCAT0000|TDI30000|TLHR0000,globaldevtools.bbva.com/gl_l9sv_app-id-1120795_dsg/c360_datio_l9sv_ingestion,https://globaldevtools.bbva.com/bitbucket/projects/GL_L9SV_APP-ID-1120795_DSG/repos/c360_datio_l9sv_ingestion/browse,dataproc.jobs.import,feature/DECSCLIENT-2994_MarkPer,develop,"2 jul 2025, 17:56:14","2 jul 2025, 18:01:33",5
