old,new,confs
GL_MVP_t_ejb6_digital_sales_3.5_002,28ada4d9a3,L9CT_prod-assets-oilgas_MRField.conf
GL_MVP_t_l9ct_company_metric_year_cntry_3.1_000,28ada4da8d,L9CT_prod-assets-oilgas-annual_MRField.conf
GL_MVP_t_l9ct_company_metric_year_cntry_3.1_001,28ada4db5b,EJB6_digital-sales_MRField.conf
GL_MVP_t_l9ct_company_metric_year_cntry_3.2_000,28ada4dc26,L9CT_company-metric-year-cntry_MRField.conf
GL_MVP_t_l9ct_company_metric_year_cntry_3.2_001,28ada4dced,L9CT_company-metric-year-cntry_L9CT_esg-ext-data-companies_MMRule.conf
GL_MVP_t_l9ct_company_metric_year_cntry_3.5_000,28ada4ddaf,
GL_MVP_t_l9ct_company_metric_year_cntry_3.5_001,28ada4de86,
GL_MVP_t_l9ct_company_metric_year_cntry_3.5_002,28ada4df4d,
GL_MVP_t_l9ct_prod_assets_oilgas_3.5_000,28ada4e021,
GL_MVP_t_l9ct_prod_assets_oilgas_3.5_001,28ada4e0ef,
GL_MVP_t_l9ct_prod_assets_oilgas_3.5_002,28ada4e1cd,
GL_MVP_t_l9ct_prod_assets_oilgas_annual_3.5_000,28ada4e2a3,
GL_MVP_t_l9ct_prod_assets_oilgas_annual_3.5_001,28ada4e375,
GL_STR_t_l9ct_company_metric_year_cntry_4.2_000,28ada4e43c,
GL_STR_t_l9ct_company_metric_year_cntry_4.3_00N,28ada4e4f9,
GL_STR_t_l9ct_company_metric_year_cntry_5.2_00N,28ada4e5c2,
