tabla,tabla_sin_ingesta_ni_calidad,tabla_sin_ingesta_ni_calidad_RAZON,regla_deshabilitada,"regla_deshabilitada
_RAZON",conf regla deshabilitada,tabla regla deshabilitada
RESPONSABLE CIB,t_ksrr_new_production_subcat,NO CONTIENE INGESTA EN HOLDING,GL_STR_t_l9ct_gp_cust_ext_data_comp_4.3_000,"Pasan 0 rows de 724, 12/02/2024",L9CT_gp-cust-ext-data-comp_KBTQ_customer-info_MMRule.conf,t_l9ct_gp_cust_ext_data_comp
t_b0hn_agg_output_ems_hgl,t_ksrr_new_production,NO CONTIENE INGESTA EN HOLDING,GL_STR_t_l9ct_institutions_esg_4.2_000,"existen valores duplicados  para el conjunto de PKs  por lo que solo pasan 13047/16144 registros.
HILO:
Jobs de calidad Fallidos",L9CT_institutions-esg_MRField.conf,t_l9ct_institutions_esg
t_b0hn_sust_group_mark,t_l9ct_esg_question_score,"NO CONTIENE INGESTA EN HOLDING, se deprecarán",GL_STR_t_rzua_operations_cust_scope_cib_4.2_000,"REGLA 4.2 DESHABILITADA
[External] Incidencia INC000102940162 - Tarea Asignada RES",RZUA_operations-cust-scope-cib_MRField.conf,t_rzua_operations_cust_scope_cib
t_b0hn_sust_groups_fdbk,t_l9ct_bank_fl_enrg_ac_scp_3_ems,INGESTA WATERSHED PARADA,277e947b65,"REGLA 4.3
Control-M Server: Shout by orderno: 0001m0wt L9CT - Client360: GPCUSTEXTDATACOMP quality planning has finished KO for CTMERR$CUTOFF_DATE",L9CT_gp-cust-ext-data-comp_L9CT_esg-ext-data-companies_MMRule.conf,t_l9ct_gp_cust_ext_data_comp
t_b0hn_sust_groups_fdbk_detail,t_l9ct_bank_rent_bldg_scp_3_ems,INGESTA WATERSHED PARADA,GL_STR_t_b0hn_sust_groups_fdbk_detail_4.3_000,"Se han encontrado 41 registros no coincidentes para la primera regla, es decir, se encuentran en la tabla t_b0hn_sust_groups_fdbk_detail pero no en t_b0hn_sust_groups_fdbk.
Hilo:
[C360-DQ] Excepcionar Reglas 4.3 B0HN",B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,t_b0hn_sust_groups_fdbk_detail
t_b0hn_toolkit_esg_group_output,t_l9ct_bank_scope_1_emissions,INGESTA WATERSHED PARADA,GL_STR_t_kctd_interaction_activity_6.9_000,"Deshabilitado por cambios de volumetría en fines de semana y festivos. No es critica
KCTD - Client360: INTERACTIONAGGQLTYOBJECT quality planning has finished KO for %%$CUTOFF_DATE.",KCTD_interaction-activity_MRObject.conf,t_kctd_interaction_activity
t_cgj7_sust_customer_mark,t_l9ct_bank_scope_2_emissions,INGESTA WATERSHED PARADA,GL_STR_t_kctd_interaction_hit_quality_6.9_000,"Deshabilitado por cambios de volumetría en fines de semana y festivos
KCTD - Client360: INTERACTIONAGGQLTYOBJECT quality planning has finished KO for %%$CUTOFF_DATE.",KCTD_interaction-hit-quality_MRObject.conf,t_kctd_interaction_hit_quality
t_fzpd_filled_form_field,t_l9ct_bank_supp_cap_g_scp_3_ems,INGESTA WATERSHED PARADA,279d4f3a3a,"Drilldown genera error de espacio: ""java.lang.OutOfMemoryError: Java heap space""
Hilo: 
Reglas de dominio a exceptuar y modificar",L9CT_grp-clnt-paris-alignment_MRField.conf,t_l9ct_grp_clnt_paris_alignment
t_g5m3_sust_mob_operations_cib,t_l9ct_bk_supp_prch_g_svc_s3_ems,INGESTA WATERSHED PARADA,279d4f3bf3,"Drilldown genera error de espacio: ""java.lang.OutOfMemoryError: Java heap space""
Hilo: 
Reglas de dominio a exceptuar y modificar",L9CT_grp-clnt-paris-alignment_MRField.conf,t_l9ct_grp_clnt_paris_alignment
t_kctd_interaction_activity,,,279ff213a7,"Drilldown genera error de espacio: ""java.lang.OutOfMemoryError: Java heap space""
Hilo: 
Reglas de dominio a exceptuar y modificar",L9CT_grp-clnt-paris-alignment_MRField.conf,t_l9ct_grp_clnt_paris_alignment
