Fecha / Release;Tipo;UUAA;Proceso / Tabla Master;Tabla;Versión;Etapa / Fase;Tipo Componente;Subtipo Componente;Versión SW;Job ADA Europa (Bitbucket);Job ADA América (Bitbucket);Job Datio América (Bitbucket);Conf (opcional);Variables Job;Ejemplo (opcional);ID Orden;Periodicidad;Mixta;Comentarios;ESP;MEX;PER;COL;ARG
04/11/2025;Sin cambios;B0HN;t_b0hn_agg_output_ems_hgl;t_b0hn_agg_output_ems_hgl;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf"";""B0HN_agg-output-ems-hgl_MRField.conf"")";CUTOFF_DATE; ; ;Mensual;Holding to Local;Holding;False;False;False;False;False
06/11/2024;Sin cambios;B0HN;t_b0hn_agg_output_ems_hgl;t_b0hn_agg_output_ems_hgl;latest;Master;Hammurabi;;"""15.1.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/15.1.0/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRObject.conf"";""B0HN_agg-output-ems-hgl_MRObject.conf"")";CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND; ; ;Mensual;Holding to Local;Holding;False;False;False;False;False
08/10/2025;Sin cambios;B0HN;t_b0hn_agg_output_ems_hgl;t_b0hn_agg_output_ems_hgl;latest;Master;Hammurabi;;"""18.3.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.0/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf"";""B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf"")";CUTOFF_DATE; ; ;Mensual;Holding to Local;Holding;False;False;False;False;False
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_group_mark;t_b0hn_sust_group_mark;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf"";""B0HN_sust-group-mark_MRField.conf"")";CUTOFF_DATE, SOURCE_LIST; ; ;Mensual;DQ Local;Both;True;True;True;True;True
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_group_mark;t_b0hn_sust_group_mark;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRObject.conf"";""B0HN_sust-group-mark_MRObject.conf"")";CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, SOURCE_LIST, UPPER_BOUND; ; ;Mensual;DQ Local;Both;True;True;True;True;True
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_group_mark;t_b0hn_sust_group_mark;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf"";""B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf"")";CUTOFF_DATE, SOURCE_LIST; ; ;Mensual;DQ Local;Both;True;True;True;True;True
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_MRField.conf"";""B0HN_sust-groups-fdbk_MRField.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
06/11/2024;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""15.1.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/15.1.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_MRObject.conf"";""B0HN_sust-groups-fdbk_MRObject.conf"")";CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_currency_MMRule.conf"";""B0HN_sust-groups-fdbk_KCOG_currency_MMRule.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
08/10/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""18.3.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_entity_MMRule.conf"";""B0HN_sust-groups-fdbk_KCOG_entity_MMRule.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
08/10/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""18.3.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_KCOG_country_MMRule.conf"";""B0HN_sust-groups-fdbk_KCOG_country_MMRule.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
08/10/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk;t_b0hn_sust_groups_fdbk;latest;Master;Hammurabi;;"""18.3.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf"";""B0HN_sust-groups-fdbk_B0HN_sust-groups-fdbk-detail_MMRule.conf"")";CUTOFF_DATE, extralibs; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
04/11/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk_detail;t_b0hn_sust_groups_fdbk_detail;latest;Master;Hammurabi;;"""18.3.3""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.3/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk-detail_MRField.conf"";""B0HN_sust-groups-fdbk-detail_MRField.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
06/11/2024;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk_detail;t_b0hn_sust_groups_fdbk_detail;latest;Master;Hammurabi;;"""15.1.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/15.1.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk-detail_MRObject.conf"";""B0HN_sust-groups-fdbk-detail_MRObject.conf"")";CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
08/10/2025;Sin cambios;B0HN;t_b0hn_sust_groups_fdbk_detail;t_b0hn_sust_groups_fdbk_detail;latest;Master;Hammurabi;;"""18.3.0""";;;;"=HYPERLINK(""https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/18.3.0/hammurabi/confs/master/b0hn/B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf"";""B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf"")";CUTOFF_DATE; ; ;Diaria;Holding to Local;Holding;False;False;False;False;False
