,,,Nuestro doc: SDM [C360] - Componentes,,Ejemplo correcto:,,,,,,,,,,,,,,,Schema,Componente,,,,Dataproc Live,,,,,Planificación Proceso,,,Adicional,Países en los que aplica (Opcional),,,,
Fecha / Release,,,,,SDM [Equipo modelador] - Componentes,,,,,,,,,,Fecha / Release,Tipo,UUAA,Proceso / Tabla Master,Tabla,Versión,Etapa / Fase,Tipo Componente,Subtipo Componente,Versión SW,Job Europa (Bitbucket),Job América (Bitbucket),Conf (opcional),Variables Job,Ejemplo (opcional),ID Orden,Periodicidad,Mixta,Comentarios,ESP,MEX,PER,COL,ARG
1Q2024,,,,,SDM Compliance - Componentes,,,,,,,,,,1Q2024,Nuevo,KCEG,t_kceg_customer_app_expertise ,t_kceg_customer_app_expertise ,,Master,Hammurabi,MRField,13.0.4,,,MRField.conf,,,,Diaria,DQ Local,Local,TRUE,TRUE,TRUE,TRUE,TRUE
1Q2024,,,,,,,,,,,,,,,1Q2024,Nuevo,KCEG,t_kceg_customer_app_expertise ,t_kceg_customer_app_expertise ,,Master,Hammurabi,MRObject,13.0.4,,,MRObject.conf,,,,Diaria,DQ Local,Local,TRUE,TRUE,TRUE,TRUE,TRUE
1Q2024,,,,,,,,,,,,,,,1Q2024,Nuevo,KCEG,t_kceg_customer_app_expertise ,t_kceg_customer_app_expertise ,,Master,Hammurabi,MMRule,13.0.4,,,MMRule.conf,,,,Diaria,DQ Local,Local,TRUE,TRUE,TRUE,TRUE,TRUE
SCHEMA,job europa,job america,job url,tabla,conf,STATUS IMPLANTATION,version,uuaa,url conf,Variables Job,count param,periodicidad,Mixta,Comentarios,conf_bitbucket,,Q,version,conf,job url,,Fecha,version,,Version2,Fecha2,Fecha2text,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/b0hn/master/t_b0hn_agg_output_ems_hgl,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0",t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_MRField.conf,DELIVERED,15.1.0,B0HN,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/15.1.0/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRField.conf,CUTOFF_DATE,1,Monthly,DQ Local,Holding,,,3Q25,17.2.0,B0HN_agg-output-ems-hgl_MRField.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrfield-01.json?at=refs%2Ftags%2Fv17.2.0",,,,,17.2.0,30/07/2025,30/07/2025,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/b0hn/master/t_b0hn_agg_output_ems_hgl,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0",t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_MRObject.conf,DELIVERED,15.1.0,B0HN,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/15.1.0/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_MRObject.conf,"CUTOFF_DATE, FECHA_VOLUMETRIC, LOWER_BOUND, UPPER_BOUND",1,Monthly,DQ Local,Holding,,,3Q25,17.1.0,B0HN_agg-output-ems-hgl_MRObject.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmrobject-01.json?at=refs%2Ftags%2Fv17.2.0",,,,,17.3.0,45868,23/07/2025,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/b0hn/master/t_b0hn_agg_output_ems_hgl,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0",t_b0hn_agg_output_ems_hgl,B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,DELIVERED,15.1.0,B0HN,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/15.1.0/hammurabi/confs/master/b0hn/B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,CUTOFF_DATE,1,Monthly,DQ Local,Holding,,,3Q25,17.0.2,B0HN_agg-output-ems-hgl_KSAG_holding-business-group_MMRule.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-aggoutputemshglmmrule-01.json?at=refs%2Ftags%2Fv17.2.0",,,,,17.2.0,45861,16/07/2025,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/b0hn/master/t_b0hn_sust_group_mark,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0",t_b0hn_sust_group_mark,B0HN_sust-group-mark_MRField.conf,DELIVERED,15.1.0,B0HN,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/15.1.0/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_MRField.conf,"CUTOFF_DATE, SOURCE",5,Monthly,DQ Local,Both,,,2Q24,17.0.1,B0HN_sust-group-mark_MRField.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmrfield-01.json?at=refs%2Ftags%2Fv17.2.0",,,,,17.1.0,45854,10/07/2025,,,,,,,,,,,
https://artifactory.globaldevtools.bbva.com/ui/native/gl-datio-da-generic-dev-local/schemas/gl/b0hn/master/t_b0hn_sust_group_mark,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmmrule-01.json?at=refs%2Ftags%2Fv17.2.0,https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmmrule-01.json?at=refs%2Ftags%2Fv17.2.0,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmmrule-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmmrule-01.json?at=refs%2Ftags%2Fv17.2.0",t_b0hn_sust_group_mark,B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,DELIVERED,17.0.1,B0HN,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/b0hn_hamm/17.0.1/hammurabi/confs/master/b0hn/B0HN_sust-group-mark_KSAG_holding-business-group_MMRule.conf,"CUTOFF_DATE, SOURCE",1,Monthly,DQ Local,Both,,,3Q25,17.0.1,B0HN_sust-group-mark_MRObject.conf,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-sustgroupmarkmrobject-01.json?at=refs%2Ftags%2Fv17.2.0
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_B0HN_APP-ID-23103_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/b0hn-gl-hmm-qlt-sustgroupmarkmrobject-01.json?at=refs%2Ftags%2Fv17.2.0",,,,,17.0.2,45848,9/07/2025,,,,,,,,,,,
