conf;job_url;table;secundary_table;job;version
t_b0hn_toolkit_ems_metric_target-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitemsmetrictarmrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitemsmetrictarmrfield-01.json";t_b0hn_toolkit_ems_metric_target;;b0hn-gl-hmm-qlt-toolkitemsmetrictarmrfield-01.json;"""19.0.0"""
t_b0hn_toolkit_esg_general_data-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitesggeneraldamrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitesggeneraldamrfield-01.json";t_b0hn_toolkit_esg_general_data;;b0hn-gl-hmm-qlt-toolkitesggeneraldamrfield-01.json;"""19.0.0"""
t_b0hn_toolkit_esg_rating-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitesgratingmrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitesgratingmrfield-01.json";t_b0hn_toolkit_esg_rating;;b0hn-gl-hmm-qlt-toolkitesgratingmrfield-01.json;"""19.0.0"""
t_b0hn_toolkit_esg_sector-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitesgsectormrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitesgsectormrfield-01.json";t_b0hn_toolkit_esg_sector;;b0hn-gl-hmm-qlt-toolkitesgsectormrfield-01.json;"""19.0.0"""
t_b0hn_toolkit_esg_strategy-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitesgstrategymrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitesgstrategymrfield-01.json";t_b0hn_toolkit_esg_strategy;;b0hn-gl-hmm-qlt-toolkitesgstrategymrfield-01.json;"""19.0.0"""
t_b0hn_toolkit_esg_top_5_geo-qlm-MRField.conf;"https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/europa/b0hn-gl-hmm-qlt-toolkitesgtop5geomrfield-01.json
https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-b0hn/blob/19.0.0/hammurabi/jobs/america-ada/b0hn-gl-hmm-qlt-toolkitesgtop5geomrfield-01.json";t_b0hn_toolkit_esg_top_5_geo;;b0hn-gl-hmm-qlt-toolkitesgtop5geomrfield-01.json;"""19.0.0"""
CGJ7_customer-carbon-footprint_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7";t_cgj7_customer_carbon_footprint;;cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json;"""18.3.7"""
CGJ7_customer-carbon-footprint_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmrobject-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmrobject-01.json?at=refs%2Ftags%2Fv18.3.7";t_cgj7_customer_carbon_footprint;;cgj7-gl-hmm-qlt-customercarbonfootpmrobject-01.json;"""18.3.7"""
CGJ7_customer-carbon-footprint_KCOG_country_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmmrule-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmmrule-01.json?at=refs%2Ftags%2Fv18.3.7";t_cgj7_customer_carbon_footprint;t_kcog_country;cgj7-gl-hmm-qlt-customercarbonfootpmmrule-01.json;"""18.3.7"""
CGJ7_customer-carbon-footprint_KBTQ_customer-info_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmmrule-02.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmmrule-02.json?at=refs%2Ftags%2Fv18.3.7";t_cgj7_customer_carbon_footprint;t_kbtq_customer_info;cgj7-gl-hmm-qlt-customercarbonfootpmmrule-02.json;"""18.3.7"""
